chr gene skat skato nvar 
10 RBM20 0.00524076138776078 0.000336009450414787 12 1.48617005348206
17 NXPH3 0.000410917606440257 0.00056725120296508 3 1.98742699623108
3 TMEM110-MUSTN1 0.000395535261235171 0.000589010154733116 3 1.59242463111877
17 SLFN14 0.00123340021416938 0.000651953416257678 2 1.89381957054138
1 GPATCH2 0.000707109355986879 0.000675227300810932 4 1.26963782310486
1 MIB2 0.00080129463579412 0.000725596117681748 11 2.13774967193604
2 AP1S3 0.0010209031238367 0.000741025043376475 5 1.94605851173401
21 DSCR4 0.000797771206298081 0.000797771206298081 1 1.72141790390015
20 RALGAPA2 0.00323644452487517 0.000946043345768643 5 1.262610912323
19 MBD3L1 0.000850939212844023 0.00108679384472077 5 2.22173953056335
3 IQCF3 0.00230086842012121 0.00121127794577602 2 1.94708585739136
15 MKRN3 0.000927611944099581 0.0013448954425177 3 1.81597280502319
11 MTMR2 0.00256493888384902 0.00135238392469106 3 1.72319149971008
2 ERLEC1 0.00165048710789803 0.00135667716243582 2 1.93071293830872
19 AMH 0.000989719414803048 0.00142567275463046 5 2.02020049095154
3 TMEM110 0.000779563645627669 0.00147494831237882 4 1.19312405586243
1 PTAFR 0.00109713059333831 0.00162253334121165 3 1.26435923576355
19 CYP2A13 0.00111991941451685 0.00166745801062451 5 1.34367871284485
12 TMCC3 0.00533614022457446 0.00176455421399135 5 1.85231280326843
17 SLC25A39 0.00176119991555623 0.00182017522129152 3 1.93405675888062
13 COL4A2 0.688644660695998 0.00190983809844936 15 2.10679006576538
11 CABP2 0.00774637874634859 0.00194003297880663 2 1.43077731132507
8 SAMD12 0.00221760148117284 0.0020092461672141 2 2.40216326713562
2 KRTCAP3 0.0188483059361831 0.00211334277667885 5 1.27149200439453
15 GDPGP1 0.00611057589930471 0.00217108621345519 6 1.36058378219604
2 VRK2 0.00135021836113739 0.00220118722374441 3 1.93319964408875
20 SRMS 0.00676581537730789 0.00221104162081043 6 1.28412961959839
17 TEX2 0.00228156608294658 0.00228156608294658 1 2.26366853713989
3 PCBP4 0.00185962274159749 0.00228442847551025 2 1.85470461845398
1 GPR157 0.00131626875894205 0.00228652917797101 4 1.34125924110413
1 SMPDL3B 0.00166479489036547 0.00232833536002353 6 1.40120625495911
17 NEK8 0.0391095956681175 0.00239351185425707 4 1.88031053543091
17 KRTAP4-11 0.0873429513909962 0.00239845263188809 7 2.01653122901917
14 DICER1 0.00378291660037374 0.00244054853880793 6 1.37068748474121
4 PABPC4L 0.012983239540503 0.00247719530810742 4 1.8660843372345
7 ANLN 0.0760523770288278 0.00250234823114459 6 1.87608456611633
6 MEP1A 0.00274805779704836 0.00277830759053554 3 1.60132479667664
17 CHD3 0.00203818483133718 0.00287207478473972 3 2.19943261146545
10 MMS19 0.0017452169525977 0.00290109177878983 6 1.55506777763367
9 ZNF484 0.0031668881666989 0.00323918430348313 6 1.39519691467285
20 DNMT3B 0.00306655393181559 0.00333294557462049 3 1.86930060386658
1 ACTL8 0.00276707854822381 0.0033905866106041 4 1.33000993728638
1 TCEA3 0.00267989240395734 0.00341472110878671 2 1.3884756565094
12 SLC6A13 0.0443359087532057 0.00342828827493102 5 1.91568422317505
17 NOTUM 0.0021637818536244 0.00344284069269551 6 1.97428178787231
6 AHI1 0.00385346860330985 0.00352454677904968 9 1.18830299377441
19 ZNF846 0.00286387357864839 0.00352755272643457 6 1.63422608375549
7 TRBV7-4 0.00273600728751208 0.00354418628588216 2 1.36676692962646
1 TMEM51 0.0114737826145281 0.00358089100715864 5 1.41078305244446
1 PADI3 0.011052536895312 0.0036125003078159 6 2.42193174362183
14 FITM1 0.00199023977250926 0.0036641473365685 5 1.83417201042175
20 SPTLC3 0.00290230372007337 0.00372463245255139 2 1.59612464904785
17 FMNL1 0.00328279223200844 0.00378587187492052 3 1.73730731010437
16 FAHD1 0.00314185738676367 0.00398082107303699 2 1.98387837409973
5 MCCC2 0.00398448228929206 0.00398448228929206 1 1.29394888877869
11 HEPACAM 0.00419773870492741 0.00419773870492741 1 1.87077355384827
7 AIMP2 0.00263312448542349 0.00421644058717252 4 1.96414160728455
3 IFT80 0.00815304127049952 0.00423985038975661 4 1.21394920349121
12 TPI1 0.00943335201005843 0.00435227281055139 3 1.2120041847229
6 REV3L 0.00325428074540073 0.0043772621389353 7 1.47540307044983
6 FAM65B 0.0128275429126436 0.00459117059408054 6 1.32895302772522
1 RRNAD1 0.00631292745648711 0.00459442996294634 2 1.92672777175903
19 ZNF823 0.00739439981333067 0.00462519517485305 2 1.87852501869202
15 SEMA6D 0.0108038668355766 0.0047351310044299 4 1.31529808044434
3 POLQ 0.0588659683666354 0.00476869265834123 17 1.49930667877197
22 SMTN 0.00250016821826334 0.00479183413346251 12 2.02873706817627
10 HK1 0.00363461129015545 0.00481816024311066 7 1.34514546394348
17 OVCA2 0.00365414097043316 0.00508553131936285 3 1.24557447433472
19 NMRK2 0.00523488028924406 0.00510562133079284 3 1.9941725730896
10 JMJD1C 0.0348122165589188 0.00512837828198198 13 1.99019074440002
14 WDR25 0.00864655210362139 0.00534334364689026 2 1.77101373672485
11 RAG1 0.00550197901345772 0.00539044713605419 3 1.87856984138489
5 FAM173B 0.00805285518301941 0.0054128480677117 2 1.85240912437439
1 CHIA 0.00444772294460197 0.00560536229204356 6 1.2020251750946
12 SUOX 0.00575953330857706 0.00560723009878794 3 1.93488645553589
2 SULT6B1 0.0212617966149787 0.00561071740366503 2 1.28453969955444
1 FMO2 0.00359224282610193 0.00565441431244562 11 2.02093291282654
14 DLST 0.010900167311448 0.00569570324085789 3 1.86069083213806
6 SLC17A4 0.0046475524834674 0.00576630956805768 2 1.90228295326233
6 RSPH4A 0.00378357416676903 0.00576779470973532 2 1.25814056396484
6 SLC29A1 0.265564979932802 0.00579305964555121 3 1.87523531913757
5 CCNB1 0.00471988525741333 0.00585597231741097 2 1.46700406074524
1 TMEM201 0.00463577371250834 0.00586271277527983 2 1.68268036842346
17 ALOXE3 0.00932665731351624 0.0058863621898696 6 1.93842315673828
3 KIAA1257 0.0181540028896294 0.00588726804016626 5 1.32122850418091
20 NPEPL1 0.0114160494697385 0.00589532317670127 3 2.26190280914307
20 ZGPAT 0.00403842742809186 0.00591944466755867 5 1.19737219810486
22 GCAT 0.023355809512788 0.00592608753294688 4 1.79466390609741
4 RAPGEF2 0.027292844762359 0.00611558241466437 4 1.30591988563538
11 TPCN2 0.00329681364248143 0.00617993740807521 5 1.95967435836792
4 CYP4V2 0.00482428219680226 0.00618830776657808 4 1.96079444885254
1 ACTRT2 0.00759806325562939 0.00625718484399074 2 1.27109503746033
3 CPA3 0.00451711228479339 0.00635990740269132 5 2.0013473033905
16 FAM173A 0.013965633318767 0.00639326333530243 3 1.26333522796631
1 CTBS 0.0475598574897836 0.00640488649718662 4 1.17757272720337
3 TRIM42 0.0260841042979018 0.00658030002284293 6 2.01483726501465
11 RAPSN 0.00901403867483068 0.00660434744629257 3 1.28705382347107
11 OR10S1 0.00462608184754283 0.00662225833416363 3 1.79054427146912
19 SPTBN4 0.00463925745628141 0.00668105902369143 13 2.00818824768066
5 ADRA1B 0.00611513573259814 0.00674702480859934 2 1.2857837677002
12 ARHGEF25 0.0055604607202658 0.00680666645133432 3 1.74388718605042
19 FBXW9 0.0068808660917761 0.0068808660917761 1 1.87236571311951
1 C4BPA 0.00507575153194517 0.00695908682791724 3 1.23425960540771
6 COL9A1 0.00632853216601086 0.0069653394982726 2 2.50924825668335
2 MAP4K3 0.00911658652286099 0.00703007995621463 2 1.35215783119202
14 ACYP1 0.00810896126619391 0.00705363481299293 2 1.91694021224976
1 EXO5 0.00713072383765298 0.00713072383765298 1 1.13388609886169
16 AHSP 0.0071718404427217 0.0071718404427217 1 1.09418916702271
14 TMED8 0.0073681973653031 0.00718825460041195 3 1.87787485122681
18 SERPINB7 0.00720045962786421 0.00720045962786421 1 1.58157968521118
8 SLC26A7 0.0104526876294211 0.00725961998513913 10 1.39827871322632
1 TRIM67 0.0116476828652536 0.00727943734983882 2 1.82511782646179
12 CDK17 0.010978762476067 0.00728808362614075 3 1.79323816299438
6 VNN2 0.00506540668154033 0.00733254483166723 3 1.48346447944641
6 ABCC10 0.00388283111883568 0.00745292025811806 15 1.31101703643799
11 APOA5 0.00446320795155166 0.00748477550914683 3 1.90204238891602
11 KMT2A 0.00405645766384749 0.00750226173209367 8 1.97988224029541
8 ZNF16 0.0859694258036199 0.00755227898584232 6 1.15936946868896
19 B3GNT8 0.00615236351378608 0.00761307312165638 2 1.18477177619934
12 USP30 0.00652448352277443 0.00762151957778801 4 1.91485834121704
1 ROR1 0.00421232279286759 0.00764374099134935 6 1.87151432037354
19 ZNF555 0.00701194711355691 0.00770249644616672 2 1.37485194206238
9 FPGS 0.00963210384964211 0.00776337758795853 5 1.90532517433167
2 IL36RN 0.0117969693447502 0.0077880818740147 2 1.73029565811157
22 CCDC117 0.0199041867208558 0.00784253256523193 2 1.69335794448853
3 WDR49 0.00497259873520014 0.00786072741820387 10 1.88762331008911
4 CXCL10 0.00788556038458388 0.00788556038458388 1 1.26819849014282
18 ARHGAP28 0.00464846858305195 0.00792388993191862 4 1.30523538589478
14 CEP128 0.00449884893856599 0.00794149090320551 6 1.9377338886261
12 CSAD 0.0431654147206638 0.00800404623118134 5 1.7164044380188
1 GABRD 0.00567865025570661 0.00802283640807711 3 1.23265337944031
8 SBSPON 0.0110356140556432 0.00806777730746688 3 1.42087650299072
2 ACMSD 0.00557041103098845 0.00809650689170571 3 1.73340153694153
16 ZNF821 0.00751574633972702 0.00823096126283218 2 1.93668961524963
17 SLC52A1 0.00752100106158459 0.00823252206017067 2 1.99403548240662
12 PDE3A 0.00656228877153253 0.00829358858830853 4 1.75775527954102
4 C4orf33 0.0075908608096516 0.00830546953193911 2 1.59309673309326
14 OR4K17 0.0540373642005081 0.00835627570347686 3 1.9147355556488
1 CDC42BPA 0.00591076800294373 0.00836033325963004 7 1.46865892410278
2 IHH 0.012908615221993 0.00852335640832835 2 1.93524694442749
19 ILVBL 0.00604480225954645 0.0085291034548638 6 2.05548691749573
22 IGLV11-55 0.00853650684604093 0.00853650684604093 1 1.83663487434387
16 NME4 0.00638800297629397 0.00857841185030073 4 1.9913432598114
12 OR6C65 0.00775845870131245 0.00862613247095745 2 1.93098545074463
2 FBXO36 0.0287629589745024 0.00879930161137243 3 1.18705749511719
22 IL2RB 0.00648703673735372 0.00881976870282963 5 1.52781105041504
1 CCDC28B 0.0126834229893556 0.00884213729832273 2 1.33175897598267
20 SIRPB1 0.00629032939060719 0.00892866152510685 4 1.94124555587769
1 PBXIP1 0.0101681843819022 0.00895285677006974 3 1.89634394645691
14 IGHE 0.0139780263316161 0.00904232227125512 2 1.8434054851532
1 NUP133 0.00615753182332932 0.00909021911911567 3 1.94647741317749
11 ANO3 0.0111937559698405 0.00909168665310889 2 1.55165600776672
22 SYNGR1 0.00912330206183898 0.00911302385111346 2 1.17684245109558
5 SPRY4 0.00628659616901103 0.00932621832613489 8 1.27285623550415
5 MAP3K1 0.00568748414361571 0.00933629731069363 5 1.53425121307373
8 VDAC3 0.00939724627779302 0.00939724627779302 1 1.18504643440247
18 NEDD4L 0.0064487023746927 0.00939947853103207 3 1.89332818984985
1 PRMT6 0.00883276310500918 0.00939984934307858 3 1.89122247695923
3 ARIH2OS 0.0115575319504988 0.00940570172181987 2 1.149338722229
19 PSG7 0.00783818798110367 0.00943447357300919 11 1.47782158851624
4 SPATA4 0.00998744389328416 0.00945380170772259 2 1.88770484924316
6 RNF39 0.00504898008544081 0.00960931293939427 6 1.39842319488525
16 CMTM3 0.0088746168280285 0.00966532390337349 2 1.9143488407135
20 ANGPT4 0.0919282561892913 0.00969745312197057 6 1.34030079841614
11 FOLR1 0.00834544525303197 0.00970056609762426 2 1.85157680511475
3 SLC25A38 0.00747108897881402 0.00978335353150461 4 1.96647262573242
14 OR4K14 0.00903960427065616 0.0097940124712389 2 1.8257212638855
17 TEX14 0.0057285980968195 0.00981423416101834 9 1.92586970329285
22 KDELR3 0.00845824777742468 0.00982246236486883 2 1.98317623138428
2 PREB 0.0121442522990155 0.00985975349310797 2 2.18532609939575
12 NR1H4 0.0108740602926262 0.00989754120018282 3 2.04219222068787
14 SLIRP 0.019848766271861 0.00990424815563451 2 1.13840961456299
3 DPPA2 0.0122584129120171 0.0100385228837052 2 1.4437563419342
17 TNFAIP1 0.00927281034986857 0.0100896686910583 2 1.85181331634521
2 STON1 0.00485382922438217 0.0101070710848473 10 1.41391062736511
7 URGCP 0.0170661164565453 0.0101582727964241 3 1.31427216529846
4 SMR3A 0.0625192748415806 0.010176823560726 3 1.55737733840942
8 STAR 0.0101937956602883 0.0101937956602883 1 1.19887328147888
12 BCL2L14 0.00933758268777251 0.0102248967558932 2 1.40532970428467
6 SASH1 0.0605213044036844 0.0102492589014894 10 1.96201610565186
16 IL4R 0.137592023974092 0.0102548915731846 8 1.97348260879517
22 IGLV2-11 0.00727878268794349 0.0102807170332364 5 1.93324303627014
2 IGKV2-30 0.0103861015928821 0.0103861015928821 1 1.82445502281189
19 CHAF1A 0.005553755883547 0.0103871643229458 10 2.01390361785889
17 COIL 0.00958237900115896 0.0104128376339405 2 1.86073708534241
10 PWWP2B 0.0081353155042813 0.0104327660592175 8 1.28291296958923
5 GIN1 0.00963412039691609 0.0104378077112991 2 1.96428489685059
14 BEGAIN 0.0248411394672651 0.0104508651829885 2 2.23404669761658
6 HIST1H1D 0.00745326894976205 0.0104755159040381 5 1.64035081863403
3 EIF4E3 0.0128635628779384 0.0105071373608773 2 1.89115166664124
8 KLHL38 0.00973022812733059 0.0105122166503713 3 1.37489485740662
14 IL25 0.0220445812989685 0.0105387125300886 2 1.93408751487732
11 TMEM135 0.0130204195848261 0.0105432125164704 2 1.9512505531311
