gene chr NA skat
RBM20 10 NA 0.00524076138776078
NXPH3 17 NA 0.000410917606440257
TMEM110-MUSTN1 3 NA 0.000395535261235171
SLFN14 17 NA 0.00123340021416938
GPATCH2 1 NA 0.000707109355986879
MIB2 1 NA 0.00080129463579412
AP1S3 2 NA 0.0010209031238367
DSCR4 21 NA 0.000797771206298081
RALGAPA2 20 NA 0.00323644452487517
MBD3L1 19 NA 0.000850939212844023
IQCF3 3 NA 0.00230086842012121
MKRN3 15 NA 0.000927611944099581
MTMR2 11 NA 0.00256493888384902
ERLEC1 2 NA 0.00165048710789803
AMH 19 NA 0.000989719414803048
TMEM110 3 NA 0.000779563645627669
PTAFR 1 NA 0.00109713059333831
CYP2A13 19 NA 0.00111991941451685
TMCC3 12 NA 0.00533614022457446
SLC25A39 17 NA 0.00176119991555623
COL4A2 13 NA 0.688644660695998
CABP2 11 NA 0.00774637874634859
SAMD12 8 NA 0.00221760148117284
KRTCAP3 2 NA 0.0188483059361831
GDPGP1 15 NA 0.00611057589930471
VRK2 2 NA 0.00135021836113739
SRMS 20 NA 0.00676581537730789
TEX2 17 NA 0.00228156608294658
PCBP4 3 NA 0.00185962274159749
GPR157 1 NA 0.00131626875894205
SMPDL3B 1 NA 0.00166479489036547
NEK8 17 NA 0.0391095956681175
KRTAP4-11 17 NA 0.0873429513909962
DICER1 14 NA 0.00378291660037374
PABPC4L 4 NA 0.012983239540503
ANLN 7 NA 0.0760523770288278
MEP1A 6 NA 0.00274805779704836
CHD3 17 NA 0.00203818483133718
MMS19 10 NA 0.0017452169525977
ZNF484 9 NA 0.0031668881666989
DNMT3B 20 NA 0.00306655393181559
ACTL8 1 NA 0.00276707854822381
TCEA3 1 NA 0.00267989240395734
SLC6A13 12 NA 0.0443359087532057
NOTUM 17 NA 0.0021637818536244
AHI1 6 NA 0.00385346860330985
ZNF846 19 NA 0.00286387357864839
TRBV7-4 7 NA 0.00273600728751208
TMEM51 1 NA 0.0114737826145281
PADI3 1 NA 0.011052536895312
FITM1 14 NA 0.00199023977250926
SPTLC3 20 NA 0.00290230372007337
FMNL1 17 NA 0.00328279223200844
FAHD1 16 NA 0.00314185738676367
MCCC2 5 NA 0.00398448228929206
HEPACAM 11 NA 0.00419773870492741
AIMP2 7 NA 0.00263312448542349
IFT80 3 NA 0.00815304127049952
TPI1 12 NA 0.00943335201005843
REV3L 6 NA 0.00325428074540073
FAM65B 6 NA 0.0128275429126436
RRNAD1 1 NA 0.00631292745648711
ZNF823 19 NA 0.00739439981333067
SEMA6D 15 NA 0.0108038668355766
POLQ 3 NA 0.0588659683666354
SMTN 22 NA 0.00250016821826334
HK1 10 NA 0.00363461129015545
OVCA2 17 NA 0.00365414097043316
NMRK2 19 NA 0.00523488028924406
JMJD1C 10 NA 0.0348122165589188
WDR25 14 NA 0.00864655210362139
RAG1 11 NA 0.00550197901345772
FAM173B 5 NA 0.00805285518301941
CHIA 1 NA 0.00444772294460197
SUOX 12 NA 0.00575953330857706
SULT6B1 2 NA 0.0212617966149787
FMO2 1 NA 0.00359224282610193
DLST 14 NA 0.010900167311448
SLC17A4 6 NA 0.0046475524834674
RSPH4A 6 NA 0.00378357416676903
SLC29A1 6 NA 0.265564979932802
CCNB1 5 NA 0.00471988525741333
TMEM201 1 NA 0.00463577371250834
ALOXE3 17 NA 0.00932665731351624
KIAA1257 3 NA 0.0181540028896294
NPEPL1 20 NA 0.0114160494697385
ZGPAT 20 NA 0.00403842742809186
GCAT 22 NA 0.023355809512788
RAPGEF2 4 NA 0.027292844762359
TPCN2 11 NA 0.00329681364248143
CYP4V2 4 NA 0.00482428219680226
ACTRT2 1 NA 0.00759806325562939
CPA3 3 NA 0.00451711228479339
FAM173A 16 NA 0.013965633318767
