gene chr NA skato
RBM20 10 NA 0.000336009450414787
NXPH3 17 NA 0.00056725120296508
TMEM110-MUSTN1 3 NA 0.000589010154733116
SLFN14 17 NA 0.000651953416257678
GPATCH2 1 NA 0.000675227300810932
MIB2 1 NA 0.000725596117681748
AP1S3 2 NA 0.000741025043376475
DSCR4 21 NA 0.000797771206298081
RALGAPA2 20 NA 0.000946043345768643
MBD3L1 19 NA 0.00108679384472077
IQCF3 3 NA 0.00121127794577602
MKRN3 15 NA 0.0013448954425177
MTMR2 11 NA 0.00135238392469106
ERLEC1 2 NA 0.00135667716243582
AMH 19 NA 0.00142567275463046
TMEM110 3 NA 0.00147494831237882
PTAFR 1 NA 0.00162253334121165
CYP2A13 19 NA 0.00166745801062451
TMCC3 12 NA 0.00176455421399135
SLC25A39 17 NA 0.00182017522129152
COL4A2 13 NA 0.00190983809844936
CABP2 11 NA 0.00194003297880663
SAMD12 8 NA 0.0020092461672141
KRTCAP3 2 NA 0.00211334277667885
GDPGP1 15 NA 0.00217108621345519
VRK2 2 NA 0.00220118722374441
SRMS 20 NA 0.00221104162081043
TEX2 17 NA 0.00228156608294658
PCBP4 3 NA 0.00228442847551025
GPR157 1 NA 0.00228652917797101
SMPDL3B 1 NA 0.00232833536002353
NEK8 17 NA 0.00239351185425707
KRTAP4-11 17 NA 0.00239845263188809
DICER1 14 NA 0.00244054853880793
PABPC4L 4 NA 0.00247719530810742
ANLN 7 NA 0.00250234823114459
MEP1A 6 NA 0.00277830759053554
CHD3 17 NA 0.00287207478473972
MMS19 10 NA 0.00290109177878983
ZNF484 9 NA 0.00323918430348313
DNMT3B 20 NA 0.00333294557462049
ACTL8 1 NA 0.0033905866106041
TCEA3 1 NA 0.00341472110878671
SLC6A13 12 NA 0.00342828827493102
NOTUM 17 NA 0.00344284069269551
AHI1 6 NA 0.00352454677904968
ZNF846 19 NA 0.00352755272643457
TRBV7-4 7 NA 0.00354418628588216
TMEM51 1 NA 0.00358089100715864
PADI3 1 NA 0.0036125003078159
FITM1 14 NA 0.0036641473365685
SPTLC3 20 NA 0.00372463245255139
FMNL1 17 NA 0.00378587187492052
FAHD1 16 NA 0.00398082107303699
MCCC2 5 NA 0.00398448228929206
HEPACAM 11 NA 0.00419773870492741
AIMP2 7 NA 0.00421644058717252
IFT80 3 NA 0.00423985038975661
TPI1 12 NA 0.00435227281055139
REV3L 6 NA 0.0043772621389353
FAM65B 6 NA 0.00459117059408054
RRNAD1 1 NA 0.00459442996294634
ZNF823 19 NA 0.00462519517485305
SEMA6D 15 NA 0.0047351310044299
POLQ 3 NA 0.00476869265834123
SMTN 22 NA 0.00479183413346251
HK1 10 NA 0.00481816024311066
OVCA2 17 NA 0.00508553131936285
NMRK2 19 NA 0.00510562133079284
JMJD1C 10 NA 0.00512837828198198
WDR25 14 NA 0.00534334364689026
RAG1 11 NA 0.00539044713605419
FAM173B 5 NA 0.0054128480677117
CHIA 1 NA 0.00560536229204356
SUOX 12 NA 0.00560723009878794
SULT6B1 2 NA 0.00561071740366503
FMO2 1 NA 0.00565441431244562
DLST 14 NA 0.00569570324085789
SLC17A4 6 NA 0.00576630956805768
RSPH4A 6 NA 0.00576779470973532
SLC29A1 6 NA 0.00579305964555121
CCNB1 5 NA 0.00585597231741097
TMEM201 1 NA 0.00586271277527983
ALOXE3 17 NA 0.0058863621898696
KIAA1257 3 NA 0.00588726804016626
NPEPL1 20 NA 0.00589532317670127
ZGPAT 20 NA 0.00591944466755867
GCAT 22 NA 0.00592608753294688
RAPGEF2 4 NA 0.00611558241466437
TPCN2 11 NA 0.00617993740807521
CYP4V2 4 NA 0.00618830776657808
ACTRT2 1 NA 0.00625718484399074
CPA3 3 NA 0.00635990740269132
FAM173A 16 NA 0.00639326333530243
CTBS 1 NA 0.00640488649718662
TRIM42 3 NA 0.00658030002284293
RAPSN 11 NA 0.00660434744629257
OR10S1 11 NA 0.00662225833416363
SPTBN4 19 NA 0.00668105902369143
ADRA1B 5 NA 0.00674702480859934
ARHGEF25 12 NA 0.00680666645133432
FBXW9 19 NA 0.0068808660917761
C4BPA 1 NA 0.00695908682791724
COL9A1 6 NA 0.0069653394982726
MAP4K3 2 NA 0.00703007995621463
ACYP1 14 NA 0.00705363481299293
EXO5 1 NA 0.00713072383765298
AHSP 16 NA 0.0071718404427217
TMED8 14 NA 0.00718825460041195
SERPINB7 18 NA 0.00720045962786421
SLC26A7 8 NA 0.00725961998513913
TRIM67 1 NA 0.00727943734983882
CDK17 12 NA 0.00728808362614075
VNN2 6 NA 0.00733254483166723
ABCC10 6 NA 0.00745292025811806
APOA5 11 NA 0.00748477550914683
KMT2A 11 NA 0.00750226173209367
ZNF16 8 NA 0.00755227898584232
B3GNT8 19 NA 0.00761307312165638
USP30 12 NA 0.00762151957778801
ROR1 1 NA 0.00764374099134935
ZNF555 19 NA 0.00770249644616672
FPGS 9 NA 0.00776337758795853
IL36RN 2 NA 0.0077880818740147
CCDC117 22 NA 0.00784253256523193
WDR49 3 NA 0.00786072741820387
CXCL10 4 NA 0.00788556038458388
ARHGAP28 18 NA 0.00792388993191862
CEP128 14 NA 0.00794149090320551
CSAD 12 NA 0.00800404623118134
GABRD 1 NA 0.00802283640807711
SBSPON 8 NA 0.00806777730746688
ACMSD 2 NA 0.00809650689170571
ZNF821 16 NA 0.00823096126283218
SLC52A1 17 NA 0.00823252206017067
PDE3A 12 NA 0.00829358858830853
C4orf33 4 NA 0.00830546953193911
OR4K17 14 NA 0.00835627570347686
CDC42BPA 1 NA 0.00836033325963004
IHH 2 NA 0.00852335640832835
ILVBL 19 NA 0.0085291034548638
IGLV11-55 22 NA 0.00853650684604093
NME4 16 NA 0.00857841185030073
OR6C65 12 NA 0.00862613247095745
FBXO36 2 NA 0.00879930161137243
IL2RB 22 NA 0.00881976870282963
CCDC28B 1 NA 0.00884213729832273
SIRPB1 20 NA 0.00892866152510685
PBXIP1 1 NA 0.00895285677006974
IGHE 14 NA 0.00904232227125512
NUP133 1 NA 0.00909021911911567
ANO3 11 NA 0.00909168665310889
SYNGR1 22 NA 0.00911302385111346
SPRY4 5 NA 0.00932621832613489
MAP3K1 5 NA 0.00933629731069363
VDAC3 8 NA 0.00939724627779302
NEDD4L 18 NA 0.00939947853103207
PRMT6 1 NA 0.00939984934307858
ARIH2OS 3 NA 0.00940570172181987
PSG7 19 NA 0.00943447357300919
SPATA4 4 NA 0.00945380170772259
RNF39 6 NA 0.00960931293939427
CMTM3 16 NA 0.00966532390337349
ANGPT4 20 NA 0.00969745312197057
FOLR1 11 NA 0.00970056609762426
SLC25A38 3 NA 0.00978335353150461
OR4K14 14 NA 0.0097940124712389
TEX14 17 NA 0.00981423416101834
KDELR3 22 NA 0.00982246236486883
PREB 2 NA 0.00985975349310797
NR1H4 12 NA 0.00989754120018282
SLIRP 14 NA 0.00990424815563451
DPPA2 3 NA 0.0100385228837052
TNFAIP1 17 NA 0.0100896686910583
STON1 2 NA 0.0101070710848473
URGCP 7 NA 0.0101582727964241
SMR3A 4 NA 0.010176823560726
STAR 8 NA 0.0101937956602883
BCL2L14 12 NA 0.0102248967558932
SASH1 6 NA 0.0102492589014894
IL4R 16 NA 0.0102548915731846
IGLV2-11 22 NA 0.0102807170332364
IGKV2-30 2 NA 0.0103861015928821
CHAF1A 19 NA 0.0103871643229458
COIL 17 NA 0.0104128376339405
PWWP2B 10 NA 0.0104327660592175
GIN1 5 NA 0.0104378077112991
BEGAIN 14 NA 0.0104508651829885
HIST1H1D 6 NA 0.0104755159040381
EIF4E3 3 NA 0.0105071373608773
KLHL38 8 NA 0.0105122166503713
IL25 14 NA 0.0105387125300886
TMEM135 11 NA 0.0105432125164704
ACP1 2 NA 0.0106308114304923
FGFR1OP 6 NA 0.0107316641259988
NOL10 2 NA 0.0107693108650121
ADAMTS9 3 NA 0.010778944487795
GPBP1 5 NA 0.0107915480517555
LPP 3 NA 0.0108559602994227
POGLUT1 3 NA 0.0108895257090618
PDYN 20 NA 0.0108910075087381
GPR31 6 NA 0.0109531668571936
ALOX5 10 NA 0.0109663173279972
STXBP3 1 NA 0.0111486367848112
BLZF1 1 NA 0.0111659450785727
SH3PXD2A 10 NA 0.0112799237242627
ACTR3C 7 NA 0.011292326037739
KRTAP5-4 11 NA 0.0113415395663465
PRSS12 4 NA 0.0113806278630728
IGLV10-54 22 NA 0.0113920265129779
LUZP2 11 NA 0.0114060522197998
PCYT2 17 NA 0.0114366165554425
SACS 13 NA 0.0115409359656824
DBH 9 NA 0.011561846665742
TMEM235 17 NA 0.0116200432315553
FAM214A 15 NA 0.0117315506535418
THAP3 1 NA 0.011736748610193
LRP3 19 NA 0.0117725725013935
NBPF3 1 NA 0.0119768965070961
ZNF43 19 NA 0.0119844061040019
FOXD4 9 NA 0.0120317889474576
KLC2 11 NA 0.0120379713444879
FAM53C 5 NA 0.0120646010491285
DLG4 17 NA 0.0120660591505302
CLEC5A 7 NA 0.0121468339654471
C12orf57 12 NA 0.0121469976196366
FOXI2 10 NA 0.0122211013176131
SENP2 3 NA 0.0122693301388385
RFPL2 22 NA 0.0123465918226809
