Gene Start (bp)	Associated Gene Name
66119285	SLC25A26
23551994	AL157931.1
23708313	HMGA1P6
23726725	RNY3P4
23743974	LINC00362
23791571	RNU6-58P
23817659	TATDN2P3
93708910	LINC00363
23841645	SDAD1P4
23947562	RPLP1P13
94021100	SNORD22
23993110	SACS-AS1
94047230	HNRNPA1P29
94470677	GPC6-AS2
94677724	RNA5SP35
24040710	LINC00327
94806447	GPC6-AS1
24072935	LINC00352
95117554	AL139318.1
95303651	RNA5SP36
24340073	MTCO3P2
95351479	RN7SL585P
95351948	LINC00391
95364970	SOX21-AS1
24463028	C1QTNF9B-AS1
95409705	BRD7P5
95412807	RPL21P112
95612295	LINC00557
95671489	RNU6-62P
95862598	snoU13
95963084	RNY3P8
24513696	ANKRD20A19P
95988360	RNY4P27
96046303	MEMO1P5
96131698	CLDN10-AS1
24553949	RP11-309I15.1
96300987	DNAJC3-AS1
24696204	IPO7P2
96344792	MTND5P2
24736555	MIR2276
24826887	SPATA13-AS1
96346237	MTND6P18
24889863	C1QTNF9-AS1
96346823	MTCYBP3
24902349	NUS1P3
96366931	snR65
24905588	LINC00566
96461564	HMGN1P24
24974841	CYCSP33
96821799	RN7SL164P
97225913	AMMECR1LP1
24982295	TPTE2P6
97536096	HSP90AB6P
97593535	LINC00359
25129366	AL359538.2
25140981	PSPC1P2
97599891	TULP3P1
25141011	RP11-556N21.1
97600272	RP11-65L19.4
25183217	AL359538.1
97601503	RN7SKP7
25277694	RNY1P7
97618195	SNORD112
25278476	RPL26P34
97709633	snoU13
97824723	LINC00456
25316815	IRX1P1
98015226	RNA5SP37
98127996	PSMA6P4
25324795	ANKRD20A10P
98327265	RP11-120E13.1
98538063	snoU13
98553907	RPL7AP61
98591610	RP11-383H17.4
25498815	TPTE2P1
98639204	FTLP8
98856089	RN7SKP8
98860778	MIR3170
98885904	RP11-573N10.1
98981909	RP11-261P24.2
25517713	SLC25A15P3
99087659	FARP1-AS1
99205497	RP11-295B17.6
25562715	RPL34P27
99229498	STK24-AS1
25715794	AL359757.1
99262546	NUS1P4
25746966	AMER2-AS1
99281940	CYCSP35
25755579	LINC01053
99293068	CALM2P4
25767245	LINC01076
99324234	RN7SL60P
25780187	RPL23AP69
99484338	DOCK9-AS1
75610476	BTC
25820669	AL590787.1
25874262	RP11-271M24.2
99601973	RPL7L1P12
25939937	TCEB2P1
26027137	RN7SL289P
75418301	AC142293.3
99677488	RNU6-83P
26091257	RNU6-78P
99740073	DOCK9-AS2
26437388	RP11-467D10.2
99825847	RPS6P23
26518632	RN7SL741P
39868578	GAST
26524842	RNY1P3
26626414	LINC00415
99842833	GAPDHP22
99848631	UBAC2-AS1
26688547	ATP8A2P3
99857962	RN7SKP9
99867626	H2AFZP3
100008385	MIR623
26691686	PRUNEP1
100024427	HMGB3P4
26803469	RP11-380N8.6
100060035	CCR12P
26808350	PRKRIRP6
100105650	AL583784.1
100151981	LINC00449
27151023	RPS3AP44
100188573	RNY3P6
100229366	LINC01039
27180681	WASF3-AS1
100234960	CFL1P8
27479499	FGFR1OP2P1
27551680	RPS21P8
100295313	MIR4306
27591688	RPS20P32
100342335	CLYBL-AS2
27736992	USP12-AS1
100378501	CLYBL-AS1
27746396	USP12-AS2
27810419	LINC00412
100436111	SNORA25
100436308	snoU13
27829201	SNORD102
100647153	LINC00554
27829538	SNORA27
27894150	AL159977.1
100680023	NDUFA12P1
27917785	RNU6-70P
27947485	LINC01079
100714550	ASNSP3
27976613	RNY1P1
28008286	AL137059.1
28062275	RNU6-63P
100802735	RPL15P18
28270530	NPM1P4
39873994	HAP1
100850441	RP11-340C20.3
28402900	RNU6-73P
101116694	PCCA-AS1
28407581	PDX1-AS1
28527663	LINC00543
28563435	RN7SL272P
101187995	RP11-151A6.4
28641724	KATNBL1P1
28681568	CHCHD2P8
101192089	RPS26P47
28710980	PAN3-AS1
101276129	COX5BP6
28788650	EEF1A1P3
28806638	RNU6-82P
101360579	NALCN-AS1
29172970	EIF4A1P7
29277839	RNU6-53P
101408805	ARF4P3
29296523	CYP51A1P2
101593116	LINC00411
29352695	POM121L13P
102369198	RP11-397O8.7
29796699	AL596092.1
102431234	RNU1-24P
29813516	MTUS2-AS2
102454228	HMGB3P7
102619992	MIR2681
29880915	GAPDHP69
102654475	LIPT1P1
29913703	RP11-351N4.4
102669303	RNY1P2
30050652	MTUS2-AS1
102698284	MIR4705
102915396	RPL39P29
30440096	TIMM8BP1
30446750	LINC00297
102944677	FGF14-IT1
30492784	LINC00572
103019889	FGF14-AS1
30510042	LINC00544
103046980	FGF14-AS2
30596158	RP11-629E24.2
103053821	RP11-811P12.3
103241722	LINC00555
30677315	LINC00365
103331776	RP11-29B2.5
30726023	LINC00384
103374152	snoU13
103395340	LINC00283
30728203	LINC00385
103472343	RNY5P8
30780753	AL356750.1
30855902	RNU6-64P
103532449	METTL21EP
30870284	PRDX2P1
103541208	RP11-255P5.2
30890497	LINC00427
104077550	RP11-123H22.1
104096970	ATP6V1G1P7
105466678	RPL7P45
106111404	DAOA-AS1
30914407	LINC00426
106356629	LINC00343
30993656	LINC01058
39910856	JUP
106549872	SNORA25
31002084	UBE2L5P
106780720	AL603632.1
106807721	RNA5SP38
31113734	RBM22P2
107028911	LINC00460
31115780	MFAP1P1
107078121	RPL35P9
31127807	PTPN2P2
107270158	LINC00551
107306264	LINC00443
31377343	LINC00398
107315785	ATP5G1P5
107516164	PPIAP24
31456070	TEX26-AS1
107594562	AL162574.1
107627286	AL354741.1
107773381	AL445204.1
107973243	SNORD31
108183519	MIR1267
108288379	AL138710.1
108440690	FAM155A-IT1
108953560	RNA5SP39
109132574	HCFC2P1
109753609	MYO16-AS2
31456688	LINC00545
109816250	MYO16-AS1
31547426	RP11-252M21.6
109934321	LINC00370
19986749	AF240627.2
31569299	LINC01066
109962483	LINC01067
39958199	LEPREL4
20058408	MIR548X
31651391	WDR95P
110053043	LINC00399
20076689	AP001537.1
110380629	LINC00676
20230097	PPIAP22
31885426	ANKRD26P4
110407168	AL162497.1
110567443	RN7SKP10
110705632	LINC00396
20290252	AL157359.4
32420978	EEF1DP3
20325582	AL157359.3
110750200	RN7SL783P
111066552	snoU13
20418629	AP000431.1
111108743	COL4A2-AS2
32559822	LINC01073
20502841	AP000431.2
32599451	FRY-AS1
111154922	COL4A2-AS1
20616860	SLC6A6P1
32872291	RP11-37E23.5
111291555	AL139385.1
20673930	AP000855.4
32958797	IFIT1P1
111415021	RPL21P107
20717465	RNU1-139P
111462023	LINC00567
32994527	SNORA16
20966155	RPL37P4
32999495	RP11-298P3.4
111547406	ANKRD10-IT1
20993009	AP000403.3
21112023	AP000568.2
33051411	ATP8A2P2
111589106	PARP1P1
21131673	C1QBPP
21265593	AP000946.2
111635654	LINC00431
21629065	AP001171.1
111748185	LINC00368
21728060	RNU6-772P
21728965	RN7SKP147
111766159	ARHGEF7-AS2
33337576	RNY1P4
21760646	FDPSP6
33451569	LINC00423
111774999	ARHGEF7-IT1
21797261	KRT18P2
111796652	ARHGEF7-AS1
33528195	TOMM22P3
21802755	RPS3AP1
33615489	AL161898.1
112248356	RP11-65D24.1
33732724	STARD13-IT1
39968962	FKBP10
112554299	LINC00354
22114908	LINC00320
112563079	AL136302.1
112706392	SNORD44
112737863	RP11-450H6.3
112760409	LINC00404
22200445	PPIAP1
112761433	LINC00403
22595616	AP001136.2
112851664	LINC01070
22770068	AP001137.1
22939084	AF241725.4
112967781	LINC01043
23006773	AF241725.1
112976881	LINC01044
23027359	AF241725.6
113372159	AL162711.1
113399763	ATP11A-AS1
23095613	LINC00317
113539551	AL356740.1
33845516	STARD13-AS
113619149	RP11-120K24.3
20169919	IGHV1OR15-9
113621798	MCF2L-AS1
113663092	RP11-120K24.4
23119293	AP000475.2
113663985	RP11-120K24.5
113782469	F10-AS1
113784730	KARSP2
20192909	IGHV3OR15-7
113819316	RP11-98F14.11
23305635	AP000472.3
113930931	LDHBP1
20209093	IGHD5OR15-5A
114005988	GRTP1-AS1
23381263	AP000472.2
114123216	DCUN1D2-AS
20210050	IGHD4OR15-4A
114133230	RNU1-16P
114451484	LINC00552
20211158	IGHD3OR15-3A
114518603	GAS6-AS1
20213655	IGHD2OR15-2A
114567141	GAS6-AS2
23470936	LINC00308
33907816	RP11-141M1.1
114580581	RP11-199F6.4
